date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:20	100595/100595	---M-Z	200	added ('OK')	text/html	etag:%22188f3-59d65e04-58a6749;gz%22	https://jthemes.net/themes/f-html/vetrov/	C:/Users/liu%20leu/Desktop/du%20lich%20ne/jthemes.net/themes/f-html/vetrov/index.html	(from )
09:24:21	711/711	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Apr%202025%2002:24:44%20GMT	https://jthemes.net/robots.txt		(from )
09:24:21	3549/3549	---M--	200	added ('OK')	image/png	etag:%22ddd-59d65afa-6878fd5;;;%22	https://jthemes.net/themes/f-html/vetrov/assets/ico/apple-touch-icon-144-precomposed.png	C:/Users/liu%20leu/Desktop/du%20lich%20ne/jthemes.net/themes/f-html/vetrov/assets/ico/apple-touch-icon-144-precomposed.png	(from https://jthemes.net/themes/f-html/vetrov/)
09:24:21	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%221536-59d65af8-6878fd6;;;%22	https://jthemes.net/themes/f-html/vetrov/assets/ico/favicon.ico	C:/Users/liu%20leu/Desktop/du%20lich%20ne/jthemes.net/themes/f-html/vetrov/assets/ico/favicon.ico	(from https://jthemes.net/themes/f-html/vetrov/)
09:24:21	2139/2139	---M-Z	200	added ('OK')	text/css	etag:%2285b-59d65aea-9a0edb9;gz%22	https://jthemes.net/themes/f-html/vetrov/assets/css/multicolors/theme-color.css	C:/Users/liu%20leu/Desktop/du%20lich%20ne/jthemes.net/themes/f-html/vetrov/assets/css/multicolors/theme-color.css	(from https://jthemes.net/themes/f-html/vetrov/)
09:24:22	313251/313251	---M-Z	200	added ('OK')	text/css	etag:%224c7a3-59d65aac-58a676a;gz%22	https://jthemes.net/themes/f-html/vetrov/assets/css/style_min.css	C:/Users/liu%20leu/Desktop/du%20lich%20ne/jthemes.net/themes/f-html/vetrov/assets/css/style_min.css	(from https://jthemes.net/themes/f-html/vetrov/)
09:24:22	4478/4478	---M-Z	200	added ('OK')	text/html	etag:%22117e-59d65e06-58a6752;gz%22	https://jthemes.net/themes/f-html/vetrov/login.html	C:/Users/liu%20leu/Desktop/du%20lich%20ne/jthemes.net/themes/f-html/vetrov/login.html	(from https://jthemes.net/themes/f-html/vetrov/)
09:24:22	100595/100595	---M-Z	200	added ('OK')	text/html	etag:%22188f3-59d65e04-58a6749;gz%22	https://jthemes.net/themes/f-html/vetrov/index.html	C:/Users/liu%20leu/Desktop/du%20lich%20ne/jthemes.net/themes/f-html/vetrov/index-2.html	(from https://jthemes.net/themes/f-html/vetrov/)
09:24:22	3703/3703	---M--	200	added ('OK')	image/png	etag:%22e77-59d65bc0-1309bd4b;;;%22	https://jthemes.net/themes/f-html/vetrov/assets/images/logo/logo-1.png	C:/Users/liu%20leu/Desktop/du%20lich%20ne/jthemes.net/themes/f-html/vetrov/assets/images/logo/logo-1.png	(from https://jthemes.net/themes/f-html/vetrov/)
09:24:22	388380/388380	---M-Z	200	added ('OK')	text/html	etag:%225ed1c-59d65dc6-58a6743;gz%22	https://jthemes.net/themes/f-html/vetrov/index-2.html	C:/Users/liu%20leu/Desktop/du%20lich%20ne/jthemes.net/themes/f-html/vetrov/index-3.html	(from https://jthemes.net/themes/f-html/vetrov/)
